Time/BA(s)	RefinedPose	ConstPose	IgnoredPose	RefinedPts	ConstPts	IgnoredPts	RefinedK	ConstK	IgnoredK	ResidualBlocks	SuccessIter	BadIter	InitRMSE	FinalRMSE	dAR=-1	dAR=0	dAR=1	dAR=2	dAR=3	dAR=4	dAR=5	dAR=6	dAR=7	dAR=8	dAR=9	dAR=10+	New Views	
0.168639	3	0	0	690	0	0	1	0	0	3058	39	0	0.801842	0.385925	0	0	0	0	0	0	0	0	0	0	0	0	294171242	
0.129397	3	0	0	498	0	0	1	0	0	2288	50	1	0.413115	0.404945	0	0	0	0	0	0	0	0	0	0	0	0	294171242	
0.0430866	4	0	0	692	0	0	1	0	0	3644	10	0	0.684272	0.457128	0	0	0	0	0	0	0	0	0	0	0	0	1078683094	
0.0288157	5	0	0	895	0	0	1	0	0	5230	5	0	0.814583	0.590988	0	0	0	0	0	0	0	0	0	0	0	0	1178269393	
0.0449037	6	0	0	1153	0	0	1	0	0	7048	6	0	0.866563	0.684491	0	0	0	0	0	0	0	0	0	0	0	0	570539746	
0.0527359	7	0	0	1337	0	0	1	0	0	8480	7	0	0.820781	0.695176	0	0	0	0	0	0	0	0	0	0	0	0	762030273	
0.0591011	8	0	0	1488	0	0	1	0	0	9724	6	0	0.855131	0.742648	0	0	0	0	0	0	0	0	0	0	0	0	1499149563	
0.0639675	8	0	0	1484	0	0	1	0	0	9618	6	0	0.702662	0.691679	0	0	0	0	0	0	0	0	0	0	0	0	1499149563	
0.0654582	9	0	0	1621	0	0	1	0	0	10978	7	0	0.893424	0.768978	0	0	0	0	0	0	0	0	0	0	0	0	753120338	
0.0558767	9	0	0	1614	0	0	1	0	0	10810	5	0	0.717635	0.700045	0	0	0	0	0	0	0	0	0	0	0	0	753120338	
0.0481652	10	0	0	1737	0	0	1	0	0	12116	5	0	0.862843	0.766008	0	0	0	0	0	0	0	0	0	0	0	0	854684009	
0.0634901	10	0	0	1730	0	0	1	0	0	11956	5	0	0.715492	0.706446	0	0	0	0	0	0	0	0	0	0	0	0	854684009	
0.0813517	11	0	0	1966	0	0	1	0	0	13688	7	0	1.01183	0.828434	0	0	0	0	0	0	0	0	0	0	0	0	1765857571	
0.0793965	11	0	0	1953	0	0	1	0	0	13446	6	0	0.763003	0.74409	0	0	0	0	0	0	0	0	0	0	0	0	1765857571	
0.0930317	12	0	0	2130	0	0	1	0	0	14898	6	0	0.985808	0.856982	0	0	0	0	0	0	0	0	0	0	0	0	118001120	
0.0850786	12	0	0	2112	0	0	1	0	0	14564	6	0	0.780286	0.758243	0	0	0	0	0	0	0	0	0	0	0	0	118001120	
0.0913941	13	0	0	2174	0	0	1	0	0	15184	6	0	0.88491	0.808565	0	0	0	0	0	0	0	0	0	0	0	0	1835742160	
0.0721456	13	0	0	2167	0	0	1	0	0	15024	5	0	0.765562	0.748495	0	0	0	0	0	0	0	0	0	0	0	0	1835742160	
0.108516	14	0	0	2321	0	0	1	0	0	15952	5	0	0.836699	0.789773	0	0	0	0	0	0	0	0	0	0	0	0	1895226176	
0.0828275	14	0	0	2314	0	0	1	0	0	15814	5	0	0.754041	0.74136	0	0	0	0	0	0	0	0	0	0	0	0	1895226176	
0.133253	15	0	0	2478	0	0	1	0	0	16990	8	0	0.896457	0.813817	0	0	0	0	0	0	0	0	0	0	0	0	1763636214	
0.124797	15	0	0	2460	0	0	1	0	0	16724	6	0	0.763154	0.749718	0	0	0	0	0	0	0	0	0	0	0	0	1763636214	
0.104366	16	0	0	2583	0	0	1	0	0	17800	6	0	0.874453	0.810345	0	0	0	0	0	0	0	0	0	0	0	0	170391303	
0.0990587	16	0	0	2573	0	0	1	0	0	17582	5	0	0.760638	0.748823	0	0	0	0	0	0	0	0	0	0	0	0	170391303	
0.0993403	17	0	0	2718	0	0	1	0	0	18864	6	0	0.885829	0.81936	0	0	0	0	0	0	0	0	0	0	0	0	1581090896	
0.110543	17	0	0	2710	0	0	1	0	0	18622	6	0	0.770684	0.758274	0	0	0	0	0	0	0	0	0	0	0	0	1581090896	
0.11324	18	0	0	2838	0	0	1	0	0	20108	6	0	0.892044	0.81171	0	0	0	0	0	0	0	0	0	0	0	0	1249130758	
0.0980009	18	0	0	2834	0	0	1	0	0	19898	5	0	0.771505	0.762252	0	0	0	0	0	0	0	0	0	0	0	0	1249130758	
0.124065	19	0	0	2955	0	0	1	0	0	21422	6	0	0.880087	0.819032	0	0	0	0	0	0	0	0	0	0	0	0	860836826	
0.163361	19	0	0	2952	0	0	1	0	0	21162	6	0	0.77008	0.759464	0	0	0	0	0	0	0	0	0	0	0	0	860836826	
0.173066	20	0	0	3081	0	0	1	0	0	22640	5	0	0.859449	0.800241	0	0	0	0	0	0	0	0	0	0	0	0	198243835	
0.0818573	20	0	0	3079	0	0	1	0	0	22430	4	0	0.766856	0.758418	0	0	0	0	0	0	0	0	0	0	0	0	198243835	
0.139809	21	0	0	3202	0	0	1	0	0	23904	6	0	0.860625	0.809613	0	0	0	0	0	0	0	0	0	0	0	0	424891007	
0.095287	21	0	0	3201	0	0	1	0	0	23666	5	0	0.773366	0.764688	0	0	0	0	0	0	0	0	0	0	0	0	424891007	
0.129721	22	0	0	3260	0	0	1	0	0	24304	6	0	0.817672	0.789538	0	0	0	0	0	0	0	0	0	0	0	0	265106419	
0.207794	22	0	0	3257	0	0	1	0	0	24182	5	0	0.771572	0.76647	0	0	0	0	0	0	0	0	0	0	0	0	265106419	
0.192009	23	0	0	3401	0	0	1	0	0	25212	6	0	0.820129	0.791275	0	0	0	0	0	0	0	0	0	0	0	0	1124316966	
0.150967	23	0	0	3400	0	0	1	0	0	25068	6	0	0.769705	0.762662	0	0	0	0	0	0	0	0	0	0	0	0	1124316966	
0.0988268	24	0	0	3415	0	0	1	0	0	25306	5	0	0.780049	0.767784	0	0	0	0	0	0	0	0	0	0	0	0	1350020634	
0.136613	25	0	0	3690	0	0	1	0	0	26524	5	0	0.775171	0.754027	0	0	0	0	0	0	0	0	0	0	0	0	1551686868	
